close,high,low,open,time,volumefrom,volumeto,timestamp
72.49,72.71,71.68,72.71,1509055200,0.01699,1.23,2017-10-26 15:00:00
72.7,72.7,71.75,72.49,1509058800,16.43,1184.35,2017-10-26 16:00:00
72.86,72.86,71.54,72.7,1509062400,86.51,6201.08,2017-10-26 17:00:00
71.53,72.86,71.53,72.86,1509066000,67.25,4879.91,2017-10-26 18:00:00
71.47,72.5,71.45,71.53,1509069600,23.98,1719.32,2017-10-26 19:00:00
71.99,72.44,71.46,71.47,1509073200,25.58,1841.7,2017-10-26 20:00:00
71.46,72.45,71.46,71.99,1509076800,9.54,690.69,2017-10-26 21:00:00
71.5,72.45,71.46,71.46,1509080400,7.18,515.38,2017-10-26 22:00:00
72.42,72.42,71.46,71.5,1509084000,7.3,521.97,2017-10-26 23:00:00
71.46,72.45,71.46,72.42,1509087600,5.31,380.05,2017-10-27 00:00:00
71.46,71.46,71.46,71.46,1509091200,0.0,0.0,2017-10-27 01:00:00
71.46,71.46,71.46,71.46,1509094800,0.0,0.0,2017-10-27 02:00:00
71.49,72.45,71.46,71.46,1509098400,0.7348,52.56,2017-10-27 03:00:00
71.49,71.49,71.49,71.49,1509102000,0.0,0.0,2017-10-27 04:00:00
72.45,72.45,71.16,71.49,1509105600,2181.19,155350.74,2017-10-27 05:00:00
72.92,72.98,71.6,72.45,1509109200,106.24,7738.0,2017-10-27 06:00:00
72.2,72.92,71.2,72.92,1509112800,128.74,9238.32,2017-10-27 07:00:00
72.33,72.43,71.16,72.2,1509116400,71.3,5108.36,2017-10-27 08:00:00
72.47,72.49,71.25,72.33,1509120000,18.11,1300.01,2017-10-27 09:00:00
71.26,72.48,71.26,72.47,1509123600,9.46,676.82,2017-10-27 10:00:00
71.16,71.26,71.16,71.26,1509127200,81.88,5831.43,2017-10-27 11:00:00
72.46,72.47,71.16,71.16,1509130800,259.11,18767.57,2017-10-27 12:00:00
71.06,72.46,71.06,72.46,1509134400,131.32,9367.01,2017-10-27 13:00:00
72.5,72.5,71.06,71.06,1509138000,1148.18,82972.46,2017-10-27 14:00:00
72.3,72.5,72.27,72.5,1509141600,358.03,25874.62,2017-10-27 15:00:00
72.81,72.81,72.3,72.3,1509145200,51.29,3732.85,2017-10-27 16:00:00
72.77,72.81,72.28,72.81,1509148800,9.65,698.65,2017-10-27 17:00:00
72.28,72.85,72.27,72.77,1509152400,135.32,9829.32,2017-10-27 18:00:00
72.82,72.84,72.27,72.28,1509156000,258.58,18702.8,2017-10-27 19:00:00
72.75,72.82,72.27,72.82,1509159600,171.44,12391.22,2017-10-27 20:00:00
71.4,72.75,71.38,72.75,1509163200,48.07,3462.82,2017-10-27 21:00:00
72.9,72.9,71.07,71.4,1509166800,56.24,4046.24,2017-10-27 22:00:00
72.95,72.98,72.9,72.9,1509170400,38.05,2774.8,2017-10-27 23:00:00
71.13,72.95,71.13,72.95,1509174000,1.0,71.13,2017-10-28 00:00:00
72.81,72.81,71.13,71.13,1509177600,28.75,2093.02,2017-10-28 01:00:00
72.81,72.81,72.81,72.81,1509181200,1.0,72.81,2017-10-28 02:00:00
72.81,72.81,72.81,72.81,1509184800,0.0,0.0,2017-10-28 03:00:00
71.12,72.81,71.12,72.81,1509188400,10.9,776.41,2017-10-28 04:00:00
71.12,72.92,71.12,71.12,1509192000,8.18,594.33,2017-10-28 05:00:00
71.01,71.3,71.01,71.12,1509195600,149.59,10627.61,2017-10-28 06:00:00
71.07,72.21,71.01,71.01,1509199200,1.12,80.07,2017-10-28 07:00:00
72.58,72.58,71.07,71.07,1509202800,19.33,1400.68,2017-10-28 08:00:00
71.25,72.58,71.25,72.58,1509206400,99.92,7133.34,2017-10-28 09:00:00
72.4,72.44,71.25,71.25,1509210000,38.62,2794.63,2017-10-28 10:00:00
72.82,72.82,72.28,72.4,1509213600,2056.81,148679.91,2017-10-28 11:00:00
71.3,72.82,71.3,72.82,1509217200,21.12,1531.39,2017-10-28 12:00:00
71.5,72.29,71.3,71.3,1509220800,1013.86,73281.38,2017-10-28 13:00:00
72.3,72.3,71.37,71.5,1509224400,12.35,890.11,2017-10-28 14:00:00
